OR4F5,0.558
SAMD11,0.25
NOC2L,0.874
KLHL17,0.515
PLEKHN1,0.552
PERM1,0.436
HES4,2.447
ISG15,1.486
AGRN,3.912
RNF223,0.432
C1orf159,0.845
TTLL10,0.447
TNFRSF18,0.369
TNFRSF4,0.71
SDF4,1.387
B3GALT6,0.652
C1QTNF12,0.227
UBE2J2,1.871
SCNN1D,0.793
ACAP3,0.923
PUSL1,0.514
INTS11,1.709
CPTP,2.914
TAS1R3,0.226
DVL1,4.501
MXRA8,2.618
AURKAIP1,0.748
CCNL2,1.438
MRPL20,0.874
ANKRD65,0.409
TMEM88B,2.569
VWA1,1.538
ATAD3C,0.358
ATAD3B,0.316
ATAD3A,1.084
TMEM240,0.273
SSU72,1.345
FNDC10,1.039
MIB2,3.237
MMP23B,0.343
CDK11B,1.445
SLC35E2B,0.312
CDK11A,0.43
SLC35E2,0.492
NADK,0.641
GNB1,1.997
CALML6,0.226
TMEM52,0.293
CFAP74,0.305
GABRD,1.161
PRKCZ,0.909
FAAP20,0.365
SKI,2.248
MORN1,0.391
RER1,0.254
PEX10,0.2
PLCH2,0.627
PANK4,0.276
HES5,0.475
TNFRSF14,3.464
FAM213B,0.186
MMEL1,1.141
TTC34,0.311
PRDM16,0.327
ARHGEF16,1.432
MEGF6,0.15
TPRG1L,1.519
TP73,0.609
WRAP73,0.861
SMIM1,0.372
LRRC47,0.448
CEP104,3.42
DFFB,0.524
C1orf174,0.329
AJAP1,0.759
KCNAB2,2.589
NPHP4,0.211
CHD5,2.25
RNF207,1.87
RPL22,1.796
ICMT,0.718
GPR153,0.374
ACOT7,1.934
ESPN,0.38
TNFRSF25,0.384
PLEKHG5,0.536
NOL9,0.987
TAS1R1,0.237
ZBTB48,0.634
PHF13,0.827
KLHL21,0.781
THAP3,0.55
DNAJC11,1.977
CAMTA1,0.556
VAMP3,1.212
PER3,0.825
UTS2,0.187
PARK7,1.615
ERRFI1,0.632
SLC45A1,0.716
RERE,2.721
ENO1,1.131
SLC2A5,2.556
GPR157,1.371
H6PD,0.308
SPSB1,0.612
SLC25A33,2.047
TMEM201,0.519
PIK3CD,0.737
CLSTN1,0.719
CTNNBIP1,3.224
LZIC,0.486
NMNAT1,0.591
RBP7,0.59
UBE4B,0.731
KIF1B,0.513
PGD,0.723
CENPS,0.49
CORT,0.333
DFFA,1.208
PEX14,0.661
CASZ1,0.533
C1orf127,0.424
TARDBP,1.31
MASP2,0.223
SRM,1.192
EXOSC10,0.966
ANGPTL7,0.354
MTOR,0.697
UBIAD1,0.566
DISP3,0.531
FBXO44,0.461
FBXO2,2.965
FBXO6,0.306
MAD2L2,0.441
DRAXIN,0.189
AGTRAP,0.176
MTHFR,0.721
CLCN6,0.723
NPPA,1.008
NPPB,0.337
KIAA2013,0.506
PLOD1,0.681
MFN2,2.839
MIIP,2.312
TNFRSF8,0.18
TNFRSF1B,1.736
VPS13D,1.105
DHRS3,0.768
C1orf158,2.092
LRRC38,0.432
PDPN,1.019
PRDM2,0.755
