,Age,Gender
MUSCLE_AGE22_M_GROUP20_34_CC_T415_Gt073_R1_COUNT,22,1
MUSCLE_AGE23_M_GROUP20_34_CC_T293_Gt022_R1_COUNT,23,1
MUSCLE_AGE25_F_GROUP20_34_CC_T430_Gt085_R1_COUNT,25,0
MUSCLE_AGE25_M_GROUP20_34_AS_T355_Gt046_R1_COUNT,25,1
MUSCLE_AGE26_F_GROUP20_34_CC_T370_Gt051_R1_COUNT,26,0
MUSCLE_AGE26_F_GROUP20_34_CC_T400_Gt045_R1_COUNT,26,0
MUSCLE_AGE27_F_GROUP20_34_CC_T385_Gt055_R1_COUNT,27,0
MUSCLE_AGE28_M_GROUP20_34_CC_T326_Gt001_R1_COUNT,28,1
MUSCLE_AGE31_F_GROUP20_34_AS_T640_Gt090_R1_COUNT,31,0
MUSCLE_AGE31_M_GROUP20_34_AA_T230_Gt025_R1_COUNT,31,1
MUSCLE_AGE31_M_GROUP20_34_AA_T328_Gt005_R1_COUNT,31,1
MUSCLE_AGE33_M_GROUP20_34_CC_T340_Gt042_R1_COUNT,33,1
MUSCLE_AGE35_M_GROUP35_49_CC_T670_Gt104_R1_COUNT,35,1
MUSCLE_AGE37_F_GROUP35_49_AA_T120_Gt037_R1_COUNT,35,0
MUSCLE_AGE37_M_GROUP35_49_AA_T460_Gt064_R1_COUNT,37,1
MUSCLE_AGE38_M_GROUP35_49_CC_T232_Gt016_R1_COUNT,38,0
MUSCLE_AGE38_M_GROUP35_49_CC_T743_Gt093_R1_COUNT,38,1
MUSCLE_AGE42_F_GROUP35_49_CC_T445_Gt059_R1_COUNT,42,0
MUSCLE_AGE42_M_GROUP35_49_AA_T297_Gt024_R1_COUNT,42,1
MUSCLE_AGE45_M_GROUP35_49_AA_T292_Gt030_R1_COUNT,45,1
MUSCLE_AGE45_M_GROUP35_49_AA_T325_Gt017_R1_COUNT,45,1
MUSCLE_AGE47_F_GROUP35_49_CC_T490_Gt078_R1_COUNT,47,0
MUSCLE_AGE47_M_GROUP35_49_AA_T475_Gt060_R1_COUNT,47,1
MUSCLE_AGE51_M_GROUP50_64_CC_T289_Gt015_R1_COUNT,51,1
MUSCLE_AGE52_F_GROUP50_64_AA_T535_Gt063_R1_COUNT,52,0
MUSCLE_AGE52_F_GROUP50_64_CC_T331_Gt027_R1_COUNT,52,0
MUSCLE_AGE52_M_GROUP50_64_AA_T505_Gt056_R1_COUNT,52,1
MUSCLE_AGE52_M_GROUP50_64_CC_T329_Gt007_R1_COUNT,52,1
MUSCLE_AGE54_M_GROUP50_64_AA_T520_Gt057_R1_COUNT,54,1
MUSCLE_AGE57_M_GROUP50_64_CC_T266_Gt004_R1_COUNT,57,1
MUSCLE_AGE58_F_GROUP50_64_CC_T330_Gt011_R1_COUNT,58,0
MUSCLE_AGE60_M_GROUP50_64_CC_T300_Gt013_R1_COUNT,60,1
MUSCLE_AGE62_F_GROUP50_64_CC_T550_Gt070_R1_COUNT,62,0
MUSCLE_AGE63_F_GROUP50_64_CC_T676_Gt101_R1_COUNT,63,0
MUSCLE_AGE63_M_GROUP50_64_CC_T685_Gt092_R1_COUNT,63,1
MUSCLE_AGE67_F_GROUP65_79_CC_T610_Gt080_R1_COUNT,67,0
MUSCLE_AGE67_M_GROUP65_79_AA_T295_Gt039_R1_COUNT,67,1
MUSCLE_AGE67_M_GROUP65_79_CC_T228_Gt002_R1_COUNT,67,1
MUSCLE_AGE69_F_GROUP65_79_CC_T715_Gt095_R1_COUNT,69,0
MUSCLE_AGE70_M_GROUP65_79_AS_T625_Gt089_R1_COUNT,70,0
MUSCLE_AGE70_M_GROUP65_79_CC_T595_Gt061_R1_COUNT,70,1
MUSCLE_AGE72_F_GROUP65_79_CC_T296_Gt018_R1_COUNT,73,0
MUSCLE_AGE72_F_GROUP65_79_CC_T580_Gt071_R1_COUNT,72,0
MUSCLE_AGE72_M_GROUP65_79_CC_T298_Gt014_R1_COUNT,72,1
MUSCLE_AGE72_M_GROUP65_79_CC_T730_Gt084_R1_COUNT,72,1
MUSCLE_AGE72_M_GROUP65_79_CC_T760_Gt109_R1_COUNT,72,1
MUSCLE_AGE73_M_GROUP65_79_CC_T565_Gt065_R1_COUNT,72,1
MUSCLE_AGE76_M_GROUP65_79_CC_T745_Gt098_R1_COUNT,76,1
MUSCLE_AGE80_F_GROUP80_PLUS_CC_T290_Gt032_R1_COUNT,80,0
MUSCLE_AGE81_M_GROUP80_PLUS_CC_T291_Gt029_R1_COUNT,81,1
MUSCLE_AGE81_M_GROUP80_PLUS_CC_T790_Gt110_R1_COUNT,81,1
MUSCLE_AGE81_M_GROUP80_PLUS_CC_T805_Gt108_R1_COUNT,81,1
MUSCLE_AGE83_M_GROUP80_PLUS_CC_T294_Gt026_R1_COUNT,83,1
