Tracking_ID,HG19en82 Chromosome,HG19en82 Gene Start (bp),HG19en82 Gene End (bp),HG19en82 Gene Length,HG19en82 Strand,HG19en82 % GC Content,HG19en82 Cytoband,HG19en82 Gene Biotype,HG19en82 Gene Name,HG19en82 Description
ENSG00000134202,chr1,110276554,110284384,4837,-,46.74,p13.3,protein_coding,GSTM3,glutathione S-transferase mu 3 (brain) [Source:HGNC Symbol;Acc:4635]
ENSG00000204421,chr6,31686425,31689622,1103,-,52.94,p21.33,protein_coding,LY6G6C,"lymphocyte antigen 6 complex, locus G6C [Source:HGNC Symbol;Acc:13936]"
ENSG00000198908,chrX,101975616,102008468,5518,+,42.71,q22.1,protein_coding,BHLHB9,"basic helix-loop-helix domain containing, class B, 9 [Source:HGNC Symbol;Acc:29353]"
ENSG00000177954,chr1,153963235,153964626,946,+,45.91,q21.3,protein_coding,RPS27,ribosomal protein S27 [Source:HGNC Symbol;Acc:10416]
ENSG00000079950,chr6,132767006,132834337,16387,-,37.41,q23.2,protein_coding,STX7,syntaxin 7 [Source:HGNC Symbol;Acc:11442]
ENSG00000106031,chr7,27233122,27239725,4664,-,45.38,p15.2,protein_coding,HOXA13,homeobox A13 [Source:HGNC Symbol;Acc:5102]
ENSG00000255823,chr11,10529434,10530723,1290,-,42.4,p15.4,protein_coding,MTRNR2L8,MT-RNR2-like 8 [Source:HGNC Symbol;Acc:37165]
ENSG00000140829,chr16,72127461,72146811,6209,+,51.51,q22.2,protein_coding,DHX38,DEAH (Asp-Glu-Ala-His) box polypeptide 38 [Source:HGNC Symbol;Acc:17211]
ENSG00000135090,chr12,118587606,118810750,10570,-,39.71,q24.23,protein_coding,TAOK3,TAO kinase 3 [Source:HGNC Symbol;Acc:18133]
ENSG00000069764,chr16,14766405,14788526,1113,-,47.91,p13.12,protein_coding,PLA2G10,"phospholipase A2, group X [Source:HGNC Symbol;Acc:9029]"
ENSG00000182158,chr7,137559725,137686813,8788,-,43.66,q33,protein_coding,CREB3L2,cAMP responsive element binding protein 3-like 2 [Source:HGNC Symbol;Acc:23720]
ENSG00000153485,chr14,93651296,93653434,1365,+,48.11,q32.12,protein_coding,TMEM251,transmembrane protein 251 [Source:HGNC Symbol;Acc:20218]
ENSG00000175189,chr12,57828543,57844611,1992,+,46.8,q13.3,protein_coding,INHBC,"inhibin, beta C [Source:HGNC Symbol;Acc:6068]"
ENSG00000173041,chr7,63980262,64023484,5586,-,38.98,q11.21,protein_coding,ZNF680,zinc finger protein 680 [Source:HGNC Symbol;Acc:26897]
ENSG00000166535,chr12,8975068,9039597,7303,+,44.25,p13.31,protein_coding,A2ML1,alpha-2-macroglobulin-like 1 [Source:HGNC Symbol;Acc:23336]
ENSG00000139160,chr12,31800094,31826048,6868,+,42.44,p11.21,protein_coding,METTL20,methyltransferase like 20 [Source:HGNC Symbol;Acc:28739]
ENSG00000144401,chr2,208445355,208490652,6798,-,40.9,q33.3,protein_coding,METTL21A,methyltransferase like 21A [Source:HGNC Symbol;Acc:30476]
ENSG00000143543,chr1,153946745,153950164,1496,-,50.96,q21.3,protein_coding,JTB,jumping translocation breakpoint [Source:HGNC Symbol;Acc:6201]
ENSG00000162576,chr1,1288069,1297157,3371,-,65.3,p36.33,protein_coding,MXRA8,matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:7542]
ENSG00000227268,chr10,89618918,89623194,4277,-,49.15,q23.31,protein_coding,KLLN,"killin, p53-regulated DNA replication inhibitor [Source:HGNC Symbol;Acc:37212]"
ENSG00000129534,chr14,45672393,45722743,6250,-,37.65,q21.2,protein_coding,MIS18BP1,MIS18 binding protein 1 [Source:HGNC Symbol;Acc:20190]
ENSG00000162520,chr1,33145507,33169197,3941,-,47.85,p35.1,protein_coding,SYNC,"syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:28897]"
ENSG00000073910,chr13,32605437,32870794,16059,+,38.87,q13.1,protein_coding,FRY,furry homolog (Drosophila) [Source:HGNC Symbol;Acc:20367]
ENSG00000154099,chr16,84178865,84212373,5939,+,47.37,q23.3,protein_coding,DNAAF1,"dynein, axonemal, assembly factor 1 [Source:HGNC Symbol;Acc:30539]"
ENSG00000166411,chr15,78423840,78464291,6832,+,44.46,q25.1,protein_coding,IDH3A,isocitrate dehydrogenase 3 (NAD+) alpha [Source:HGNC Symbol;Acc:5384]
ENSG00000064393,chr7,139246316,139477577,15220,-,45.52,q34,protein_coding,HIPK2,homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:14402]
ENSG00000183696,chr7,48128225,48148330,4577,+,48.29,p12.3,protein_coding,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:12576]
ENSG00000105568,chr19,52693292,52730687,5338,+,48.26,q13.41,protein_coding,PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:9302]"
ENSG00000078549,chr7,31092076,31151089,6828,+,51.88,p14.3,protein_coding,ADCYAP1R1,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I [Source:HGNC Symbol;Acc:242]
ENSG00000117143,chr1,162531323,162569627,3405,+,39.65,q23.3,protein_coding,UAP1,UDP-N-acteylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:12457]
ENSG00000198932,chrX,101906294,101914011,6340,+,48.65,q22.1,protein_coding,GPRASP1,G protein-coupled receptor associated sorting protein 1 [Source:HGNC Symbol;Acc:24834]
